Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,G7 Male,G8 Male,G9 Male,G10 Male,G7 Female,G8 Female,G9 Female,G10 Female,JHS NG Male,JHS NG Female,Total Non-Graded Enrollment,Total Male Enrollment,Total Female Enrollment,Total Enrollment
Region XII,North Cotabato,Arakan East,305937,KULAMAN VALLEY HIGH SCHOOL,Purok 4,NORTH COTABATO,ARAKAN,2nd District,KULAMAN VALLEY,Public,DepED Managed,School with no Annexes,Purely JHS,7,10,11,5,13,18,11,6,0,0,0,33,48,81
Region XII,North Cotabato,Arakan East,305939,DATU MAMBILING ANSABO HIGH SCHOOL,"SITIO KATINDU, MALIBATUAN, ARAKAN, COTABATO",NORTH COTABATO,ARAKAN,2nd District,MALIBATUAN,Public,DepED Managed,School with no Annexes,Purely JHS,14,11,11,20,10,17,18,14,0,0,0,56,59,115
Region XII,North Cotabato,Arakan East,316515,GANATAN HIGH SCHOOL,Barrio 2,NORTH COTABATO,ARAKAN,2nd District,GANATAN,Public,DepED Managed,School with no Annexes,Purely JHS,41,28,20,9,25,24,23,18,0,0,0,98,90,188
Region XII,North Cotabato,Banisilan North,305978,GASTAV HIGH SCHOOL,"PUROK 5 GASTAV, BANISILAN, COTABATO",NORTH COTABATO,BANISILAN,3rd District,GASTAY,Public,DepED Managed,School with no Annexes,Purely JHS,13,25,24,21,12,25,18,19,0,0,0,83,74,157
Region XII,North Cotabato,Carmen North,304352,Victor S. Manlinoc High School,"Macabenban, Carmen, Cotabato",NORTH COTABATO,CARMEN,3rd District,MACABENBAN,Public,DepED Managed,School with no Annexes,Purely JHS,20,25,17,27,16,17,19,22,0,0,0,89,74,163
Region XII,North Cotabato,Carmen North,304727,Tambad High School,"Tambad, Carmen, Cotabato",NORTH COTABATO,CARMEN,3rd District,TAMBAD,Public,DepED Managed,School with no Annexes,Purely JHS,13,13,15,11,12,17,11,11,0,0,0,52,51,103
Region XII,North Cotabato,Carmen North,305984,MANILI HIGH SCHOOL,MANILI,NORTH COTABATO,CARMEN,3rd District,MANILI,Public,DepED Managed,School with no Annexes,Purely JHS,23,23,13,16,37,24,37,25,0,0,0,75,123,198
Region XII,North Cotabato,Carmen South,316517,Tonganon  National High School,"-Tonganon, Carmen, Cotabato",NORTH COTABATO,CARMEN,1st District,TONGANON,Public,DepED Managed,School with no Annexes,Purely JHS,24,24,16,30,30,26,24,15,0,0,0,94,95,189
Region XII,North Cotabato,Carmen South,405595,"Carmen Academy Asia International College of Science & Technology, Inc.",Sayre HIghway,NORTH COTABATO,CARMEN,1st District,POBLACION,Private,Sectarian ,School with no Annexes,Purely JHS,1,8,0,1,1,0,1,5,0,0,0,10,7,17
Region XII,North Cotabato,Kabacan North,304446,Gil Manalo High School,National Highway,NORTH COTABATO,KABACAN,1st District,KATIDTUAN,Public,DepED Managed,School with no Annexes,Purely JHS,40,48,44,58,23,39,42,61,0,0,0,190,165,355
Region XII,North Cotabato,Kabacan South,304448,Upper Paatan HS,South Sinamar,NORTH COTABATO,KABACAN,1st District,PAATAN UPPER,Public,DepED Managed,School with no Annexes,Purely JHS,12,19,27,13,13,19,21,19,0,0,0,71,72,143
Region XII,North Cotabato,Kabacan South,316509,Osias High School,-Purok 2,NORTH COTABATO,KABACAN,1st District,OSIAS,Public,DepED Managed,Mother school,Purely JHS,47,42,43,48,38,26,37,31,0,0,0,180,132,312
Region XII,North Cotabato,Kabacan West,305877,RAJAH SUMUNSANG HIGH SCHOOL,"Purok Pioneer, Salapungan, Kabacan, Cotabato",NORTH COTABATO,KABACAN,3rd District,SALAPUNGAN,Public,DepED Managed,School with no Annexes,Purely JHS,18,17,31,7,20,18,22,8,0,0,0,73,68,141
Region XII,North Cotabato,Libungan East,303624,Cesar C. Cabaya Sr. High School,Purok 3,NORTH COTABATO,LIBUNGAN,1st District,PALAO,Public,DepED Managed,School with no Annexes,Purely JHS,16,21,17,14,15,17,22,21,0,0,0,68,75,143
Region XII,North Cotabato,Magpet  East,305856,BANGKAL HIGH SCHOOL,"PUROK POBLACION BANGKAL, MAGPET, COTABATO",NORTH COTABATO,MAGPET,2nd District,BANGKAL,Public,DepED Managed,School with no Annexes,Purely JHS,10,13,16,8,6,20,6,18,0,0,0,47,50,97
Region XII,North Cotabato,Magpet  East,305860,Don Panaca High School,"Don Panaca, Magpet",NORTH COTABATO,MAGPET,2nd District,DON PANACA,Public,DepED Managed,School with no Annexes,Purely JHS,16,14,14,4,19,18,9,5,0,0,0,48,51,99
Region XII,North Cotabato,Magpet  East,305970,KISANDAL HIGH SCHOOL,Purok 4,NORTH COTABATO,MAGPET,2nd District,KISANDAL,Public,DepED Managed,School with no Annexes,Purely JHS,13,10,13,8,6,8,10,1,0,0,0,44,25,69
Region XII,North Cotabato,Magpet  East,305971,ILIAN HIGH SCHOOL,"ILIAN, MAGPET, COTABATO",NORTH COTABATO,MAGPET,3rd District,ILIAN,Public,DepED Managed,School with no Annexes,Purely JHS,13,6,9,16,10,11,10,12,0,0,0,44,43,87
Region XII,North Cotabato,Magpet  East,500460,Sallab High School,Purok Sentro,NORTH COTABATO,MAGPET,2nd District,SALLAB,Public,DepED Managed,School with no Annexes,Purely JHS,16,16,13,7,11,9,16,8,0,0,0,52,44,96
Region XII,North Cotabato,Magpet West,304706,Inac High School,INAC,NORTH COTABATO,MAGPET,2nd District,INAC,Public,DepED Managed,School with no Annexes,Purely JHS,4,8,12,9,6,6,9,10,0,0,0,33,31,64
Region XII,North Cotabato,Magpet West,316538,Bagumbayan National High School,Purok 2,NORTH COTABATO,MAGPET,2nd District,BAGUMBAYAN,Public,DepED Managed,School with no Annexes,Purely JHS,18,15,12,9,11,13,17,15,0,0,0,54,56,110
Region XII,North Cotabato,Makilala Central,316528,Bienvenido Orteza High School,"Sta. Felomina, Makilala, Cotabato",NORTH COTABATO,MAKILALA,2nd District,SANTA FELOMINA,Public,DepED Managed,Mother school,Purely JHS,19,27,20,19,12,18,22,21,0,0,0,85,73,158
Region XII,North Cotabato,Makilala East,303572,Cabilao High School,Purok 3,NORTH COTABATO,MAKILALA,2nd District,CABILAO,Public,DepED Managed,School with no Annexes,Purely JHS,15,14,13,14,8,18,12,14,0,0,0,56,52,108
Region XII,North Cotabato,Makilala East,304485,Buena Vida High School,"Buena Vida, Makilala",NORTH COTABATO,MAKILALA,2nd District,BUENA VIDA,Public,DepED Managed,School with no Annexes,Purely JHS,11,23,25,13,12,16,21,13,0,0,0,72,62,134
Region XII,North Cotabato,Makilala East,304486,Luayon NHS,- NONE,NORTH COTABATO,MAKILALA,2nd District,LUAYON,Public,DepED Managed,School with no Annexes,Purely JHS,16,17,17,9,13,13,8,16,0,0,0,59,50,109
Region XII,North Cotabato,Makilala East,316530,Sto. Niño High School,-,NORTH COTABATO,MAKILALA,2nd District,SANTO NINO,Public,DepED Managed,School with no Annexes,Purely JHS,17,20,20,19,15,10,12,10,0,0,0,76,47,123
Region XII,North Cotabato,Makilala West,316539,Malungon High School,Purok 5,NORTH COTABATO,MAKILALA,2nd District,MALUNGON,Public,DepED Managed,School with no Annexes,Purely JHS,11,7,5,11,12,9,11,8,0,0,0,34,40,74
Region XII,North Cotabato,Matalam North,305951,LATAGAN HIGH SCHOOL,"Purok Pag-asa, Latagan, Matalam, Cotabato",NORTH COTABATO,MATALAM,3rd District,LATAGAN,Public,DepED Managed,School with no Annexes,Purely JHS,15,22,9,21,14,17,15,15,0,0,0,67,61,128
Region XII,North Cotabato,Matalam North,305989,ESTADO HIGH SCHOOL,"PUROK 2, BRGY. ESTADO, MATALAM, COTABATO",NORTH COTABATO,MATALAM,3rd District,ESTADO,Public,DepED Managed,School with no Annexes,Purely JHS,13,16,14,12,11,5,12,15,0,0,0,55,43,98
Region XII,North Cotabato,Matalam North,316540,Sta. Maria High School,Purok Pagkakaisa,NORTH COTABATO,MATALAM,2nd District,SANTA MARIA,Public,DepED Managed,School with no Annexes,Purely JHS,20,17,13,25,16,21,30,24,0,0,0,75,91,166
Region XII,North Cotabato,Matalam North,316547,TAGURANAO HIGH SCHOOL,Purok Malinawon,NORTH COTABATO,MATALAM,1st District,TAGURANAO,Public,DepED Managed,School with no Annexes,Purely JHS,35,25,33,20,13,29,28,30,0,0,0,113,100,213
Region XII,North Cotabato,Matalam South,304475,Marbel National High School,Sitio Magoncia,NORTH COTABATO,MATALAM,2nd District,KIBUDOC,Public,DepED Managed,School with no Annexes,Purely JHS,22,32,29,37,23,25,33,24,0,0,0,120,105,225
Region XII,North Cotabato,Matalam South,316506,Datu Ambel High School,"Purok 6,Kilada,Matalam,Cotabato",NORTH COTABATO,MATALAM,3rd District,KILADA,Public,DepED Managed,School with no Annexes,Purely JHS,18,38,27,19,21,17,21,22,0,0,0,102,81,183
Region XII,North Cotabato,Midsayap Central,304410,Agriculture High School,-Agriculture,NORTH COTABATO,MIDSAYAP,1st District,AGRICULTURE,Public,DepED Managed,Mother school,Purely JHS,67,61,59,45,68,63,46,72,0,0,0,232,249,481
Region XII,North Cotabato,Midsayap Central,305795,Simeon Panganiban National High School,"Purok Santan, Bual Norte, Midsayap, Cotabato",NORTH COTABATO,MIDSAYAP,1st District,BUAL NORTE,Public,DepED Managed,School with no Annexes,Purely JHS,37,35,28,30,25,34,27,32,0,0,0,130,118,248
Region XII,North Cotabato,Midsayap North,316548,JUAN DILLO MEMORIAL HIGH SCHOOL,Purok 7,NORTH COTABATO,MIDSAYAP,1st District,ANONANG,Public,DepED Managed,School with no Annexes,Purely JHS,19,19,23,18,23,26,32,19,0,0,0,79,100,179
Region XII,North Cotabato,Midsayap South,304411,Agriculture NHS - Baliki Annex,"Baliki, Midsyap, Cotabato",NORTH COTABATO,MIDSAYAP,1st District,BALIKI,Public,DepED Managed,Annex or Extension school(s),Purely JHS,17,16,9,16,13,14,11,14,0,0,0,58,52,110
Region XII,North Cotabato,Midsayap South,316542,ELPIDIO M SINGCO NATIONAL HIGH SCHOOL,GUMAMELA,NORTH COTABATO,MIDSAYAP,1st District,KIWANAN,Public,DepED Managed,School with no Annexes,Purely JHS,16,23,20,30,14,21,21,22,0,0,0,89,78,167
Region XII,North Cotabato,Midsayap West,316549,Tukuran T. Kendenga High School,"Tukuran Street, Midsayap, Cotabato",NORTH COTABATO,MIDSAYAP,1st District,LOMOPOG,Public,DepED Managed,School with no Annexes,Purely JHS,14,14,4,8,17,3,4,4,0,0,0,40,28,68
Region XII,North Cotabato,M'Lang  East,303889,Luz Village High School,"Luz Village, Mlang, Cotabato",NORTH COTABATO,M'LANG,3rd District,LUZ VILLAGE,Public,DepED Managed,School with no Annexes,Purely JHS,22,19,29,15,17,16,24,19,0,0,0,85,76,161
Region XII,North Cotabato,M'Lang Central,304425,Calunasan HS,-,NORTH COTABATO,M'LANG,2nd District,CALUNASAN,Public,DepED Managed,School with no Annexes,Purely JHS,20,39,20,34,17,16,27,25,0,0,0,113,85,198
Region XII,North Cotabato,M'Lang Central,305794,DUNGOAN HIGH SCHOOL,"BARANGAY DUNGOAN, MLANG, COTABATO",NORTH COTABATO,M'LANG,3rd District,DUNGO-AN,Public,DepED Managed,School with no Annexes,Purely JHS,31,38,31,31,31,35,26,42,0,0,0,131,134,265
Region XII,North Cotabato,M'Lang North,316508,KATIPUNAN HIGH SCHOOL,"Purok 2, Katipunan, Mlang, Cotabato",NORTH COTABATO,M'LANG,2nd District,KATIPUNAN,Public,DepED Managed,School with no Annexes,Purely JHS,17,24,20,28,14,16,15,10,0,0,0,89,55,144
Region XII,North Cotabato,M'Lang South,305557,BIALONG HIGH SCHOOL,"Purok 1, Bialong, Mlang, Cotabato",NORTH COTABATO,M'LANG,3rd District,BIALONG,Public,DepED Managed,School with no Annexes,Purely JHS,22,30,36,61,24,21,23,35,0,0,0,149,103,252
Region XII,North Cotabato,M'Lang South,316533,LEPAGA HIGH SCHOOL,PUROK 4,NORTH COTABATO,M'LANG,2nd District,LEPAGA,Public,DepED Managed,Mother school,Purely JHS,25,26,30,28,30,28,22,28,0,0,0,109,108,217
Region XII,North Cotabato,Pigcawayan North,304932,James Q. Llaban Sr. High School,"Sitio Lampaki, Brgy. Kimarayag, Pigcawayan, Cotabato",NORTH COTABATO,PIGKAWAYAN,1st District,KIMARAYANG,Public,DepED Managed,School with no Annexes,Purely JHS,9,13,17,18,12,11,15,8,0,0,0,57,46,103
Region XII,North Cotabato,Pigcawayan North,306170,CESAR B. EQUIPADO HIGH SCHOOL,PUROK 4,NORTH COTABATO,PIGKAWAYAN,1st District,PAYONG-PAYONG,Public,DepED Managed,School with no Annexes,Purely JHS,22,21,22,32,22,31,27,8,0,0,0,97,88,185
Region XII,North Cotabato,Pigcawayan North,316523,Pigcawayan NHS-New Culasi Annex,ZONE 2,NORTH COTABATO,PIGKAWAYAN,1st District,NEW CULASI,Public,DepED Managed,Annex or Extension school(s),Purely JHS,15,6,13,14,4,10,11,4,0,0,0,48,29,77
Region XII,North Cotabato,Pigcawayan North,405633,North Cotabato Academy,MALIPAYON,NORTH COTABATO,PIGKAWAYAN,1st District,KIMARAYANG,Private,Sectarian ,School with no Annexes,Purely JHS,21,19,14,19,14,18,17,14,0,0,0,73,63,136
Region XII,North Cotabato,Pigcawayan South,306169,DATU GUIAMBANGAN NATIONAL HIGH SCHOOL,"CABPANGI, PIGCAWAYAN, COTABATO",NORTH COTABATO,PIGKAWAYAN,1st District,CABPANGI,Public,DepED Managed,School with no Annexes,Purely JHS,15,23,22,11,14,9,17,7,0,0,0,71,47,118
Region XII,North Cotabato,Pikit North,305859,Langayen-ZT Hamid High School,"Langayen, Pikit, North Cotabato",NORTH COTABATO,PIKIT,1st District,LANGAYEN,Public,DepED Managed,School with no Annexes,Purely JHS,28,15,11,10,27,19,23,14,0,0,0,64,83,147
Region XII,North Cotabato,Pikit West,305582,Ladtingan National High School,"Ladtingan, Pikit, Cotabato",NORTH COTABATO,PIKIT,1st District,LADTINGAN,Public,DepED Managed,School with no Annexes,Purely JHS,66,72,70,53,54,53,62,85,0,0,0,261,254,515
Region XII,North Cotabato,Pikit West,305966,KALAKACAN HIGH SCHOOL,SAN FRANCISCO,NORTH COTABATO,PIKIT,1st District,KALACACAN,Public,DepED Managed,School with no Annexes,Purely JHS,19,16,10,20,17,11,15,10,0,0,0,65,53,118
Region XII,North Cotabato,Pikit West,316550,Datu Bitol Mangansakan Memorial High School,"Paidu Pulangi Street, Pikit, Cotabato",NORTH COTABATO,PIKIT,1st District,PAIDU PULANGI,Public,DepED Managed,School with no Annexes,Purely JHS,52,52,58,68,65,65,74,62,0,0,0,230,266,496
Region XII,North Cotabato,President Roxas North,304497,Datu Inda High School,Purok 6,NORTH COTABATO,PRESIDENT ROXAS,2nd District,DATU INDANG,Public,DepED Managed,School with no Annexes,Purely JHS,12,13,18,8,12,16,9,17,0,0,0,51,54,105
Region XII,North Cotabato,President Roxas North,305952,KISUPAAN HIGH SCHOOL,"Purok Ilomavis, Kisupaan",NORTH COTABATO,PRESIDENT ROXAS,2nd District,KISUPAAN,Public,DepED Managed,School with no Annexes,Purely JHS,14,17,14,21,14,16,7,18,0,0,0,66,55,121
Region XII,North Cotabato,President Roxas South,304450,Kamarahan High School,Purok 1,NORTH COTABATO,PRESIDENT ROXAS,2nd District,KAMARAHAN,Public,DepED Managed,School with no Annexes,Purely JHS,18,19,26,22,15,21,18,19,0,0,0,85,73,158
Region XII,North Cotabato,President Roxas South,304451,Kamasi High School,"-Purok 3, Kamasi, Pres. Roxas, Cotabato",NORTH COTABATO,PRESIDENT ROXAS,2nd District,CAMASI,Public,DepED Managed,School with no Annexes,Purely JHS,15,14,14,12,13,9,15,9,0,0,0,55,46,101
Region XII,North Cotabato,President Roxas South,304511,TUAEL HIGH SCHOOL,PUROK 7,NORTH COTABATO,PRESIDENT ROXAS,2nd District,TUAEL,Public,DepED Managed,School with no Annexes,Purely JHS,15,32,19,20,15,28,22,15,0,0,0,86,80,166
Region XII,North Cotabato,President Roxas South,316537,Greenhill High School,Kidapawan-Arakan Road,NORTH COTABATO,PRESIDENT ROXAS,2nd District,GREENHILL,Public,DepED Managed,School with no Annexes,Purely JHS,15,14,18,20,13,18,16,23,0,0,0,67,70,137
Region XII,North Cotabato,Tulunan North,304433,Dimakanit HS,-,NORTH COTABATO,TULUNAN,2nd District,NEW PANAY,Public,DepED Managed,School with no Annexes,Purely JHS,24,19,35,21,21,22,17,16,0,0,0,99,76,175
Region XII,North Cotabato,Tulunan North,304482,New Caridad NVTHS,"New Caridad, Tulunan, Cotabato",NORTH COTABATO,TULUNAN,2nd District,NEW CARIDAD,Public,DepED Managed,School with no Annexes,Purely JHS,14,9,16,8,20,11,10,12,0,0,0,47,53,100
Region XII,North Cotabato,Tulunan South,316529,BACONG NATIONAL HIGH SCHOOL,Purok 1,NORTH COTABATO,TULUNAN,3rd District,BACONG,Public,DepED Managed,School with no Annexes,Purely JHS,34,30,27,23,27,41,28,26,0,0,0,114,122,236
Region XII,North Cotabato,Banisilan South,316527,Carugmanan National High School,Purok 6,NORTH COTABATO,BANISILAN,1st District,CARUGMANAN,Public,DepED Managed,Mother school,Purely JHS,14,19,12,23,9,14,13,12,0,0,0,68,48,116
Region XII,North Cotabato,Banisilan South,316531,Pinamulaan National High School,Purok 1,NORTH COTABATO,BANISILAN,1st District,PINAMULAAN,Public,DepED Managed,Mother school,Purely JHS,28,19,18,23,25,23,22,20,0,0,0,88,90,178
Region XII,North Cotabato,Arakan West,304437,Badiangon HS,PUROK 4,NORTH COTABATO,ARAKAN,2nd District,BADIANGON,Public,DepED Managed,School with no Annexes,Purely JHS,27,15,23,18,15,16,18,20,0,0,0,83,69,152
Region XII,North Cotabato,Arakan West,304481,Napalico NVTHS,"Napalico, Arakan, Cotabato",NORTH COTABATO,ARAKAN,2nd District,NAPALICO,Public,DepED Managed,School with no Annexes,Purely JHS,11,12,17,7,14,9,13,8,0,0,0,47,44,91
Region XII,North Cotabato,Arakan West,305940,LIBERTAD NATIONAL HIGH SCHOOL,"PUROK IB, LIBERTAD, ARAKAN, COTABATO",NORTH COTABATO,ARAKAN,2nd District,LIBERTAD,Public,DepED Managed,School with no Annexes,Purely JHS,15,11,10,10,19,10,9,12,0,0,0,46,50,96
Region XII,North Cotabato,Arakan West,316522,Makalangot High School,"Purok 4, Barangay Makalangot",NORTH COTABATO,ARAKAN,2nd District,MAKALANGOT,Public,DepED Managed,School with no Annexes,Purely JHS,9,15,16,12,11,10,10,19,0,0,0,52,50,102
Region XII,North Cotabato,Aleosan West,303659,Datu Guiabo High School,"Purok 8, Lawili, Aleosan, Cotabato",NORTH COTABATO,ALEOSAN,1st District,LAWILI,Public,DepED Managed,School with no Annexes,Purely JHS,19,19,12,15,17,14,17,25,0,0,0,65,73,138
Region XII,North Cotabato,Aleosan West,304513,Pentil High School,"-purok 3, Pentil, Aleosan, Cotabato",NORTH COTABATO,ALEOSAN,1st District,PENTIL,Public,DepED Managed,Mother school,Purely JHS,10,24,15,24,8,21,13,18,0,0,0,73,60,133
Region XII,North Cotabato,Aleosan West,305824,CAWILIHAN HIGH SCHOOL,PUROK KABUGAW,NORTH COTABATO,ALEOSAN,1st District,CAWILIHAN,Public,DepED Managed,School with no Annexes,Purely JHS,12,14,13,15,8,14,14,16,0,0,0,54,52,106
Region XII,North Cotabato,Aleosan West,305828,NEW LEON HIGH SCHOOL,"PUROK BALIMBING, NEW LEON, ALEOSAN, COTABATO",NORTH COTABATO,ALEOSAN,1st District,NEW LEON,Public,DepED Managed,School with no Annexes,Purely JHS,27,23,26,33,14,15,24,19,0,0,0,109,72,181
Region XII,North Cotabato,Aleosan West,305842,PALACAT HIGH SCHOOL,"PALACAT, ALEOSAN , COTABATO",NORTH COTABATO,ALEOSAN,1st District,PALACAT,Public,DepED Managed,School with no Annexes,Purely JHS,14,8,14,8,8,17,10,3,0,0,0,44,38,82
Region XII,North Cotabato,Matalam Central,304449,Kabulacan High School,Purok 3,NORTH COTABATO,MATALAM,2nd District,KABULACAN,Public,DepED Managed,School with no Annexes,Purely JHS,30,37,34,34,24,28,29,27,0,0,0,135,108,243
Region XII,North Cotabato,Matalam Central,305829,SALVACION HIGH SCHOOL,"PUROK 1, SALVACION, MATALAM, COTABATO",NORTH COTABATO,MATALAM,2nd District,SALVACION,Public,DepED Managed,School with no Annexes,Purely JHS,17,11,18,22,9,10,11,16,0,0,0,68,46,114
Region XII,North Cotabato,Banisilan West,316555,Kiaring HS,"Kiaring, Banisilan Cotabato",NORTH COTABATO,BANISILAN,1st District,KIARING,Public,DepED Managed,School with no Annexes,Purely JHS,31,43,28,32,26,40,36,32,0,0,0,134,134,268
Region XII,North Cotabato,Arakan North,316553,Datu Ladayon  HS,"Barangay Datu Ladayon, Arakan Cotabato",NORTH COTABATO,ARAKAN,2nd District,DATU LADAYON,Public,DepED Managed,School with no Annexes,Purely JHS,14,13,5,10,7,6,12,11,0,0,0,42,36,78
Region XII,North Cotabato,Arakan North,316554,Binoongan HS,"Barangay Binoongan, Arakan Cotabato",NORTH COTABATO,ARAKAN,2nd District,BINOONGAN,Public,DepED Managed,School with no Annexes,Purely JHS,7,24,14,13,12,10,10,14,0,0,0,58,46,104
Region XII,North Cotabato,Matalam West,305938,TAMPED HIGH SCHOOL,"PUROK 4, SITIO MALIGAYA, TAMPED, MATALAM, NORTH COTABATO",NORTH COTABATO,MATALAM,3rd District,TAMPED (TAMPAD),Public,DepED Managed,School with no Annexes,Purely JHS,17,25,23,10,17,17,15,15,0,0,0,75,64,139
Region XII,North Cotabato,Matalam West,305969,BATO HIGH SCHOOL,PUROK 3 BATO PROPER,NORTH COTABATO,MATALAM,3rd District,BATO,Public,DepED Managed,School with no Annexes,Purely JHS,13,8,13,8,13,16,12,13,0,0,0,42,54,96
Region XII,North Cotabato,Makilala North,303558,Buhay High School,Purok 1,NORTH COTABATO,MAKILALA,2nd District,INDANGAN,Public,DepED Managed,School with no Annexes,Purely JHS,13,12,20,11,18,17,14,13,0,0,0,56,62,118
Region XII,North Cotabato,Makilala North,303699,Garsika National High School,PUROK 2,NORTH COTABATO,MAKILALA,2nd District,GARSIKA,Public,DepED Managed,School with no Annexes,Purely JHS,16,13,15,19,10,21,13,22,0,0,0,63,66,129
Region XII,North Cotabato,Makilala North,316535,Saguing National High School,Purok Malinawon,NORTH COTABATO,MAKILALA,2nd District,SAGUING,Public,DepED Managed,School with no Annexes,Purely JHS,47,49,45,34,54,40,37,41,0,0,0,175,172,347
Region XII,North Cotabato,President Roxas Central,305949,SALAT HIGH SCHOOL,"SALAT, PRES. ROXAS, COTABATO",NORTH COTABATO,PRESIDENT ROXAS,2nd District,SALAT,Public,DepED Managed,School with no Annexes,Purely JHS,13,15,17,12,8,12,12,12,0,0,0,57,44,101
Region XII,North Cotabato,President Roxas Central,305950,DATU SUNDUNGAN HIGH SCHOOL,DATU SUNDUNGAN,NORTH COTABATO,PRESIDENT ROXAS,2nd District,DATU SANDONGAN,Public,DepED Managed,School with no Annexes,Purely JHS,13,19,14,8,13,22,21,12,0,0,0,54,68,122
Region XII,North Cotabato,President Roxas Central,316513,IDAOMAN HIGH SCHOOL,"-Purok 5, IDAOMAN, PRES. ROXAS, COTABATO",NORTH COTABATO,PRESIDENT ROXAS,2nd District,IDAOMAN,Public,DepED Managed,School with no Annexes,Purely JHS,12,12,12,19,16,11,14,13,0,0,0,55,54,109
Region XII,Sarangani,East Alabel,305751,Sarangani National Sports Academy,"Capitol Compound, Maribuan, Alabel, Sarangani",SARANGANI,ALABEL (Capital),Lone District,MARIBULAN,Public,DepED Managed,Mother school,Purely JHS,15,27,23,33,17,19,14,31,0,0,0,98,81,179
Region XII,Sarangani,West Alabel,305880,KISOY NATIONAL HIGH SCHOOL,"Sitio Kisoy, Datal Anggas, Alabel, Sarangani Province",SARANGANI,ALABEL (Capital),Lone District,DATAL ANGGAS,Public,DepED Managed,School with no Annexes,Purely JHS,11,10,17,7,7,8,17,8,0,0,0,45,40,85
Region XII,Sarangani,West Malungon,306286,CAMEN WATA BAGI NATIONAL HIGH SCHOOL,SITIO KILIL DATAL,SARANGANI,MALUNGON,Lone District,DATAL BATONG,Public,DepED Managed,School with no Annexes,Purely JHS,7,7,10,0,9,7,12,0,0,0,0,24,28,52
Region XII,Sarangani,South Glan,305610,Elena M. Mipaña National High School,"San Jose, Glan, Sarangani Province",SARANGANI,GLAN,Lone District,SAN JOSE,Public,DepED Managed,Mother school,Purely JHS,22,22,11,15,25,36,35,23,0,0,0,70,119,189
Region XII,South Cotabato,Lake Sebu East,405758,"Santa Cruz Mission  School, Inc. - Dekolon",Poblacion,SOUTH COTABATO,LAKE SEBU,2nd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely JHS,56,54,52,50,41,52,50,50,0,0,0,212,193,405
Region XII,South Cotabato,Lake Sebu East,468558,Saskatchewan Adventist Academy,Zone 1,SOUTH COTABATO,LAKE SEBU,2nd District,LUHIB,Private,Sectarian ,School with no Annexes,Purely JHS,6,6,4,7,3,6,6,10,0,0,0,23,25,48
Region XII,South Cotabato,Surallah Central,468542,"Jean Grosnick Advent Memorial Academy, Inc.",Upper Godwino,SOUTH COTABATO,SURALLAH,2nd District,CANAHAY (GODWINO),Private,Sectarian ,School with no Annexes,Purely JHS,4,4,8,10,6,9,12,6,0,0,0,26,33,59
Region XII,South Cotabato,Tampakan,316726,Palo 19 National High School - Tampakan NHS Annex,Purok I,SOUTH COTABATO,TAMPAKAN,1st District,PALO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,10,11,10,10,6,8,7,12,0,0,0,41,33,74
Region XII,Sultan Kudarat,Bagumbayan I,469016,"Pag-Asa Wisdom Institute, Inc.",Quezon Street,SULTAN KUDARAT,BAGUMBAYAN,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely JHS,7,15,16,12,4,3,4,11,0,0,0,50,22,72
Region XII,Sultan Kudarat,Bagumbayan II,469022,"Youth Sanctuary For Education and Technological Institute, Inc.",Purok Santan,SULTAN KUDARAT,BAGUMBAYAN,1st District,TUKA,Private,Non-Sectarian ,School with no Annexes,Purely JHS,23,20,13,14,21,12,12,13,0,0,0,70,58,128
Region XII,Sultan Kudarat,Bagumbayan III,469008,"Pioneer's Academy, Inc.",Purok Quarry,SULTAN KUDARAT,BAGUMBAYAN,1st District,SANTO NINO,Private,Non-Sectarian ,School with no Annexes,Purely JHS,3,10,9,16,4,12,4,7,0,0,0,38,27,65
Region XII,Sultan Kudarat,Columbio II,316806,Datalblao National High School,Bliss,SULTAN KUDARAT,COLUMBIO,1st District,DATABLAO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,11,21,11,13,18,30,19,11,0,0,0,56,78,134
Region XII,Sultan Kudarat,Esperanza II,469011,"Dr. Domingo B. Tamondong Memorial Hospital and College  Foundation, Inc.",National Highway,SULTAN KUDARAT,ESPERANZA,1st District,ALA,Private,Non-Sectarian ,School with no Annexes,Purely JHS,2,6,3,2,0,2,4,6,0,0,0,13,12,25
Region XII,Sultan Kudarat,Kulaman I (Sen. N. Aquino),316807,Bugso National High School - Langgal Annex,Purok 2,SULTAN KUDARAT,SEN. NINOY AQUINO,2nd District,BUGSO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,16,12,15,12,13,17,11,20,0,0,0,55,61,116
Region XII,Sultan Kudarat,Kulaman I (Sen. N. Aquino),410884,ILIAN VIEW ACADEMY INC.,"SITIO BONGBONG, LAGUBANG, SEN. NINOY AQUINO, SULTAN  KUDARAT",SULTAN KUDARAT,SEN. NINOY AQUINO,2nd District,LAGUBANG,Private,Non-Sectarian ,School with no Annexes,Purely JHS,15,8,0,0,20,8,0,0,0,0,0,23,28,51
